num,front,back,side
1,the armchair,der Sessel,
2,the suggestion,der Vorschlag,
3,to be worth,lohnen,
4,to remember,sich erinnern,
5,the sound,das Geräusch,
6,the ringing sound,der Klang,
7,the noise,der Lärm,
8,the polish man,der Pole,
9,the polish woman,die Polin,
10,the reading,die Lesung,
11,towards there,dort hin,
12,the listener,der Zuhörer,
13,the spectator,der Zuschauer,
14,the poem,das Gedichte,
15,the battle,die Schlacht,
16,to slaughter,schlachten,
17,the brackets,die Klammern,
18,northern,nördlich,
19,the Northern Lights,die Nordlichter,
20,the nephew,der Neffe,
21,the niece,die Nichte,
22,to wake up,aufwachen,
23,to exempt,ausnehmen,потрошить
24,to get stuck,stecken bleiben,
25,the area,das Gebiet,
26,the reunification,die Wiedervereinigung,
27,humid,feucht,
28,wet,nass,
29,the precipitation (as an object),der Niederschlag,
30,the precipitation (as a process),der Schauer,
31,the hail,der Hagel,
32,the frost,der Frost,
33,frosty,frostig,
34,the cold,die Kälte,
35,the heat,die Hitze,
36,the warmth,die Wärme,
37,to annoy,ärgern,
38,the anger,der Ärger,
39,Nonsense!,Quatsch!,
40,the relatives,die Verwandten,
41,the sparkling wine,der Sekt,
42,to stop,aufhören,
43,to listen to,hören auf,слушаться
44,to belong,gehören,
45,the counter,der Schalter,
46,the single room,das Einzelzimmer,
47,the double room,das Doppelzimmer,
48,Cool!,Geil!,
49,polite,höflich,
50,the decision,das Bescheid,справка
51,to weight,wiegen,
52,to glue,kleben,
53,precisely,präzis,
54,the felt pen,der Filzstift,фломастер
55,the pencil,der Bleistift,
56,the ballpoint pen,der Kugelschreiber,
57,the stuffed animals,die Stofftiere,
58,the rubber,das Gummi,
59,the bubblegum,das Kaugummi,
60,the band (musical),die Band,
61,the ribbon,das Band,
62,the volume,der Band,том
63,the gang,die Bande,
64,to lie,lügen,
65,the liar,der Lügner,
66,to push,schieben,
67,the school subject,das Fach,
68,the light switch,der Lichtschalter,
69,diligent,fleißig,
70,lazy,faul,
71,the orchestra conductor,der Diriger,
72,the composer,der Komponist,
73,the gymnast,der Turner,
74,the frenchman,der Franzose,
75,the French woman,die Französin,
76,the Spanish man,der Spanier,
77,the Italian,der Italiener,
78,the Hungarian,der Ungar,
79,the Englishman,der Englander,
80,the grain,das Getreide,
81,the wheat,der Weizen,пшеница
82,the oats,der Hafer,овёс
83,the rye,der Roggen,рожь
84,the spelt,der Dinkel,полба
85,to fart,rülpsen,рыгать
86,the oxygen,der Sauerstoff,
87,the carbon,der Kohlenstoff,
88,the hydrogen,der Wasserstoff,
89,the half,die Hälfte,
90,the quarter,das Viertel,
91,the third,das Drittel,
92,the whole,das Ganze,
93,to recommend,empfählen,
94,the result,das Ergebnis,
95,the amount,die Menge,
96,frequent,häufig,
97,the average,der Durchschnitt,
98,on average,durchschnittlich,
99,to cut,schneiden,
100,besides that,ansonsten,
101,the generalisation,der Oberbegriff,
102,the handle,der Griff,
103,the attack,der Angriff,
104,the vegetarian,der Vegetarisch,
105,to avoid,vermeiden,
106,the habit,die Gewohnheit,
107,the wallet,der Geldbeutel,
108,to praise,loben,
109,the madness,der Wahnsinn,
110,to smell,riechen,
111,the smell,das Geruch,
112,to stink,stinken,
113,the stink,der Gestank,
114,the fragrance,der Duft,
115,the facial expression,der Gesichtausdruck,
116,to produce,herstellen,
117,the fair,die Messe,
118,to care about,sich kummern um,
119,meaningful,sinnvoll,
120,horrible,schrecklich,
121,to support,unterstützen,
122,the raw material,der Rohstoff,сырьё
123,disappointed,enttäuscht,
124,to sweat,schwitzen,
125,the sweat,der Schweiß,
126,the date,das Date,
127,to date,daten,
128,obvious,offensichtlich,
129,испанский стыд,das Fremdschämen,
130,patient,geduldig,
131,the sauce,die Söße,
132,the laid table,das gedeckte Tisch,
133,the mistake,der Fehler,
134,to be absent,fehlen,
135,to miss,vermissen,
136,the handkerchief,das Tachentuch,
137,forever,ewig,
138,the cough,der Husten,
139,the sniff,der Schnupfen,
140,to compare,vergleichen,
141,the liquid,die Flüssigkeit,
142,the cry,der Schrei,
143,the United States,die Vereinigten Staaten,
144,the United Kingdom,das Vereinigte Königreich,
145,the abbreviation,die Abkürzung,
146,the car,der PKW,
147,the energy,die Kraft,
148,the truck,der LKW,
149,the employee,der/die Angestellte,
150,the enterprise,der Betrieb,
