num,front,back,side
1,impenetrable,undurchdringlich,
2,the blood-soaked coat,das blutgetränkte Fell,
3,around skinny shoulders of the old man,um die mageren Schultern des Alten,
4,the trembling,das Zittern,
5,to conceal,verbergen,
6,the candle,die Kerze,
7,the subordinate,der Untergebene,
8,Discussion was out of place.,Diskussion war fehl am Platze.,
9,the hood,die Motorhaube,
