type,name,description,imageUrls,decks,privacy,language,deleted,createdAt,updatedAt
COLLECTION,My Ger-Fr Vocab,,[],"[u'My Ger-Fr Phrases', u'My Ger-Fr Vocabulary vol.1']",Everyone,en,False,2020-02-22 11:29:19,2020-02-22 11:29:50
COLLECTION,My Eng-Ger Duolingo collection,,[],"[u'German Feelings', u'German Adverbs 2', u'German Communication 2', u'German Abstract Objects 2', u'German Arts', u'German Abstract Objects 3', u'German Abstract Objects 4', u'German Abstract Objects 1', u'German Spiritual', u'German Body 2', u'German Business 2', u'German Politics 1', u'German Adverbs 4', u'German Verbs: Present 4', u'German Politics 2', u'German Fantasy & Science Fiction', u'German Religion', u'German Verbs Future 3', u'German Verbs: Present 3', u'German Animals 2', u'German Language', u'German Adjectives: Nominative 1', u'German Adverbs 3', u'German Science', u'German Education', u'German Business 1', u'German Internet & Social Media', u'German Occupation 2']",Everyone,en,False,2019-02-03 09:50:22,2019-05-06 16:59:35
COLLECTION,Ger.: irregular verbs,,[],"[u'German irregular verbs', u'German irregular verbs II', u'German irregular verbs III']",Everyone,en,False,2019-04-25 15:34:47,2019-04-25 15:35:25
COLLECTION,My Eng-Ger Vocab,,[],"[u'My Eng-Ger Vocabulary 1', u'My Eng-Ger Vocabulary 2', u'My Eng-Ger Vocabulary 3', u'My Eng-Ger Vocabulary 4', u'Eng-Ger Vocab.: GeD.1', u'IU: Vocab. 01', u'IU: Phrases 01', u'IU: Vocab. 02', u'Verben mit Pr\xe4positionen', u'UdGs', u'IU: Vocab. 3']",Everyone,en,False,2019-02-03 09:48:46,2019-05-12 10:33:43
